City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
131,severo-yeniseyskiy,60.3725,93.0408,-9.12,87,98,4.92,RU,1712498631
132,udachny,66.4167,112.4,-9.75,94,100,9.95,RU,1712498632
133,sechura,-5.5569,-80.8222,24.32,67,72,3.88,PE,1712498632
134,general acha,-37.377,-64.6043,20.9,33,45,1.78,AR,1712498537
135,zhangjiakou shi xuanhua qu,40.6103,115.0447,18.41,17,100,2.72,CN,1712498634
136,weno,7.4515,151.8468,27.95,79,98,7.61,FM,1712498634
137,antalaha,-14.9003,50.2788,26.37,89,6,4.4,MG,1712498635
138,chonchi,-42.6128,-73.8092,10.62,93,100,0.71,CL,1712498505
139,talnakh,69.4865,88.3972,-7.66,93,100,5.7,RU,1712498637
140,kralendijk,12.15,-68.2667,29.99,74,20,9.26,BQ,1712498382
141,bonthe,7.5264,-12.505,32.03,59,86,3.06,SL,1712498638
142,ubari,26.5921,12.7805,31.14,8,0,3.78,LY,1712498511
143,college,64.8569,-147.8028,-3.84,72,100,0.0,US,1712498418
144,kirensk,57.7853,108.1119,-5.58,96,61,1.34,RU,1712498640
145,fort bragg,35.139,-79.006,13.44,47,0,4.12,US,1712498641
146,prince rupert,54.3161,-130.3201,4.83,89,100,16.46,CA,1712498525
147,newquay,50.4132,-5.0819,13.42,76,75,14.4,GB,1712498643
148,san antonio de pale,-1.4014,5.6325,29.01,74,90,3.85,GQ,1712498643
149,dudinka,69.4058,86.1778,-7.4,89,100,8.05,RU,1712498644
150,st. john's,47.5649,-52.7093,4.04,81,75,8.23,CA,1712498399
151,north bend,43.4065,-124.2243,6.59,100,75,3.6,US,1712498646
152,pokrovsk,48.282,37.1758,18.87,38,100,2.68,UA,1712498398
153,prado,-17.3411,-39.2208,29.13,51,30,4.55,BR,1712498486
154,kostel,42.8887,25.995,16.16,51,71,5.76,BG,1712498648
155,saipan,15.1355,145.701,27.39,78,75,7.72,MP,1712498649
156,znamenskoye,57.1281,73.8282,-4.06,85,37,2.33,RU,1712498650
157,tha khanon,9.0302,98.9529,29.9,64,65,1.87,TH,1712498650
158,wynyard,-41.0,145.7167,12.11,92,14,3.12,AU,1712498651
159,atafu village,-8.5421,-172.5159,29.32,74,97,2.12,TK,1712498651
160,kenai,60.5544,-151.2583,-1.03,100,100,4.63,US,1712498564
161,egilsstadir,65.2653,-14.3948,-0.05,93,100,11.83,IS,1712498653
162,howard springs,-12.497,131.047,27.95,96,33,2.36,AU,1712498653
163,salalah,17.0151,54.0924,28.18,56,96,3.1,OM,1712498432
164,puerto armuelles,8.2833,-82.8667,27.83,71,98,1.34,PA,1712498458
165,humaita,-7.5061,-63.0208,23.95,99,100,0.32,BR,1712498547
166,amuntai,-2.4177,115.2494,24.1,95,99,0.86,ID,1712498633
167,eraan,9.0629,117.7016,26.43,76,80,2.12,PH,1712498656
168,antsiranana,-12.2787,49.2917,29.42,70,40,4.12,MG,1712498657
169,hirara,24.8,125.2833,22.15,100,40,3.09,JP,1712498658
170,paulden,34.8856,-112.4682,3.69,47,0,0.74,US,1712498658
171,inhambane,-23.865,35.3833,25.0,76,98,7.89,MZ,1712498659
172,rudbar,30.15,62.6,31.2,9,0,2.47,AF,1712498659
173,vorgashor,67.5833,63.95,-7.33,87,100,6.85,RU,1712498660
174,gakem,6.7658,8.9881,39.21,27,37,3.46,NG,1712498661
175,masallatah,32.6167,14.0,25.34,24,0,5.65,LY,1712498661
176,iskateley,67.6803,53.1512,-5.55,88,99,6.26,RU,1712498662
177,nar'yan-mar,67.6713,53.087,-5.5,88,98,6.26,RU,1712498663
178,kapuskasing,49.4169,-82.4331,0.05,74,0,0.0,CA,1712498611
179,new norfolk,-42.7826,147.0587,13.73,97,52,1.17,AU,1712498664
180,papao,-17.75,-149.55,26.82,80,100,4.93,PF,1712498664
181,betio village,1.358,172.9211,29.02,83,49,7.82,KI,1712498665
182,nelson bay,-32.7167,152.15,20.56,88,0,1.79,AU,1712498666
183,lospalos,-8.5186,127.0025,23.05,93,20,1.07,TL,1712498666
184,esikhaleni,-28.871,31.8996,21.99,72,100,4.55,ZA,1712498555
185,villa gesell,-37.2639,-56.973,21.44,64,5,5.8,AR,1712498584
